source,target,value
bigdud82,ShaneTaylor83,1.1
mgome0072,icantsand,1.1
icantsand,mgome0072,1.1
SPORTalkCaps,NoVa_Caps,1.1
TyGuyness,NoVa_Caps,1.1
NoVa_Caps,TyGuyness,1.1
BADBIOTCH4YOU,GurganusBrandon,1.1
ShaneTaylor83,bigdud82,1.1
liverMan16,onewhohuntssoup,1.1
rciii1996,onewhohuntssoup,1.1
onewhohuntssoup,liverMan16,1.1
rciii1996,liverMan16,1.1
ThePDCommunity,WimberleyAPA,1.1
BADBIOTCH4YOU,joshhkidd,1.1
BADBIOTCH4YOU,BrockwellEllen,1.1
CrownedOne_24,_MoreBoutNothin,1.1
PSQRD12,_MoreBoutNothin,1.1
blohm011,_MoreBoutNothin,1.1
WimberleyAPA,ThePDCommunity,1.1
GurganusBrandon,BADBIOTCH4YOU,1.1
bigdud82,BADBIOTCH4YOU,1.1
joshhkidd,BADBIOTCH4YOU,1.1
BrockwellEllen,BADBIOTCH4YOU,1.1
D_physique,RodneySuccess,1.1
GonzoOfficialTV,RodneySuccess,1.1
BrockwellEllen,MarioPalush,1.1
GonzoOfficialTV,MarioPalush,1.1
AmBeRLiNa93,amber_992,1.1
RodneySuccess,D_physique,1.1
GonzoOfficialTV,D_physique,1.1
GurganusBrandon,LHatcher94,1.1
onewhohuntssoup,LHatcher94,1.1
joshhkidd,LHatcher94,1.1
BADBIOTCH4YOU,LHatcher94,1.1
amber_992,LHatcher94,1.1
onewhohuntssoup,rciii1996,1.1
liverMan16,rciii1996,1.1
_MoreBoutNothin,CrownedOne_24,1.1
PSQRD12,CrownedOne_24,1.1
blohm011,CrownedOne_24,1.1
JAGillespie4,JPlu9,1.1
PSQRD12,JPlu9,1.1
CrownedOne_24,JAGillespie4,1.1
JPlu9,JAGillespie4,1.1
blohm011,JAGillespie4,1.1
_MoreBoutNothin,PSQRD12,1.1
Gjonathans,PSQRD12,1.1
CrownedOne_24,PSQRD12,1.1
JPlu9,PSQRD12,1.1
blohm011,PSQRD12,1.1
_MoreBoutNothin,blohm011,1.1
CrownedOne_24,blohm011,1.1
JAGillespie4,blohm011,1.1
PSQRD12,blohm011,1.1
capitals_fanly,Kevin Clemmons,1.1
itagabriela850,Kevin Clemmons,1.1
ShaneTaylor83,Kevin Clemmons,1.1
prpl_n_pancakes,Kevin Clemmons,1.1
icantsand,Kevin Clemmons,1.1
mgome0072,Kevin Clemmons,1.1
SPORTalkCaps,Kevin Clemmons,1.1
pdavey244,Kevin Clemmons,1.1
NoVa_Caps,Kevin Clemmons,1.1
tweetbombdotcom,Kevin Clemmons,1.1
wedoyouraccount,Kevin Clemmons,1.1
AliShamim333,Kevin Clemmons,1.1
TyGuyness,Kevin Clemmons,1.1
GurganusBrandon,Kevin Clemmons,1.1
NikosFotisRnR,Kevin Clemmons,1.1
jazznazihitler,Kevin Clemmons,1.1
bigdud82,Kevin Clemmons,1.1
onewhohuntssoup,Kevin Clemmons,1.1
NoahRenn,Kevin Clemmons,1.1
tonette_f7b,Kevin Clemmons,1.1
liverMan16,Kevin Clemmons,1.1
Mc_G_TV,Kevin Clemmons,1.1
WimberleyAPA,Kevin Clemmons,1.1
joshhkidd,Kevin Clemmons,1.1
BrockwellEllen,Kevin Clemmons,1.1
StRaphael4,Kevin Clemmons,1.1
_MoreBoutNothin,Kevin Clemmons,1.1
farmc3,Kevin Clemmons,1.1
Eucharistia_,Kevin Clemmons,1.1
ThePDCommunity,Kevin Clemmons,1.1
BADBIOTCH4YOU,Kevin Clemmons,1.1
RodneySuccess,Kevin Clemmons,1.1
MarioPalush,Kevin Clemmons,1.1
IKMTeckChek,Kevin Clemmons,1.1
AmBeRLiNa93,Kevin Clemmons,1.1
bea_utyTips,Kevin Clemmons,1.1
treyushithead15,Kevin Clemmons,1.1
amber_992,Kevin Clemmons,1.1
D_physique,Kevin Clemmons,1.1
GonzoOfficialTV,Kevin Clemmons,1.1
DobieHouson,Kevin Clemmons,1.1
OllyTweetz,Kevin Clemmons,1.1
LHatcher94,Kevin Clemmons,1.1
Gjonathans,Kevin Clemmons,1.1
LadyGaaaaaga,Kevin Clemmons,1.1
gilman_gal,Kevin Clemmons,1.1
WarrenLoveLife,Kevin Clemmons,1.1
FatherJay,Kevin Clemmons,1.1
rciii1996,Kevin Clemmons,1.1
CrownedOne_24,Kevin Clemmons,1.1
JPlu9,Kevin Clemmons,1.1
itsmeCodyC,Kevin Clemmons,1.1
JAGillespie4,Kevin Clemmons,1.1
PSQRD12,Kevin Clemmons,1.1
blohm011,Kevin Clemmons,1.1
