Blog	fit	songwriter	size	needed	nature	crowd	bottom	seriously	modest	dirty	learn	huge	paper	scott	research	singles	chorus	books	false	tape	problem	era	production	ended	tomorrow	caught	food	evening	obviously	similar	although	camera	meet	including	university	key	http	beats	met	movies	personal	father	fuck	themselves	label	august	zero	acts	chart	entire	hair	excellent	detroit	figure	jazz	cast	focus	store	solo	sonic	questions	nick	meaning	g	april	twitter	theme	score	type	current	date	data	definitions	padding	twin	acoustic	act	imagine	relationship	sex	rose	points	clearly	edition	drum	co	cm	ca	tstyle	cd	moments	kept	minor	december	hall	el	en	ep	recorded	genre	liked	gt	download	click	ben	bed	parker	anyway	vinyl	loud	near	www	language	bowie	audience	field	deluxe	starting	titled	search	throughout	create	understand	bill	excited	per	groove	national	center	buy	several	christmas	ok	melody	smith	fucking	brain	table	k	worked	previous	brought	son	support	awesome	hop	debut	johnny	continue	un	uk	decade	meant	player	interview	inspired	welcome	rhythm	happen	british	floor	rules	wolf	instrumental	history	cave	sounded	win	stories	whose	features	subject	san	mouse	human	character	text	latin	nearly	general	members	para	recording	fans	matt	onto	hearing	plus	copy	unfortunately	ideas	alt	v	expect	hotel	wanna	river	wall	whether	beauty	busy	result	asked	success	tune	slightly	films	beatles	complete	certain	van	elements	produced	included	indie	business	area	aren	building	february	college	singing	becomes	mentioned	coast	overall	orphan	career	began	effect	starts	bar	jones	main	voices	among	collection	mention	bear	alive	metal	ray	cambria	longer	quick	sessions	stream	review	archive	hip	various	became	women	pure	lead	june	golden	service	singer	dave	shadow	begin	choice	internet	wants	ascii	series	november	followed	land	process	length	jam	web	electronic	amount	musical	peel	non	vocals	america	verse	using	beyond	station	feels	culture	chris	popular	michael	ryan	tunes	widow	hits	parts	north	likely	recordings	fantastic	seven	somehow	round	visit	drummer	images	sitting	facebook	absolutely	epic	planet	access	despite	que	brother	october	saturday	news	level	featuring	musicians	folk	feat	bought	perhaps	difficult	straight	episode	possible	possibly	unique	team	spot	industry	image	content	section	pick	action	archives	information	w	session	synth	recent	link	led	lee	standing	doubt	sister	hansi	thoughts	dr	indeed	entirely	okay	mostly	ground	concert	media	site	fully	bass	towards	seeing	himself	classic	shit	digital	effort	question	margin	totally	drums	material	include	pay	spend	giving	enjoyed	pagination	lo	lt	lp	terms	latest	studio	photo	greatest	weird	mso	pre	joe	events	easily	september	added	recently	pt	due	pm	mountain	built	steve	particularly	january	guitarist	example	desire	brilliant	large	magic	system	listened	ghost	total	south	loved	brothers	certainly	presented	usually	truly	cannot	los	issue	wonderful	damn	noise	perfectly	jeff	immediately	peter	phone	important	f	apparently	mid	mix	add	jack	plenty	approach	games	quickly	gig	based	happened	gives	releases	ya	missed	underground	birthday	remix	july	piano	mike	present	boston	season	punk	bandcamp	via	soundtrack	major	vocal	familiar	lucky	eventually	guitars	title	heaven	event	albums	plays	control	quality	playlist	broadcast	definitely	lyrics	lake	theatre	normal	parent	particular	dj	dad	dan	soft	created	venue	changed	changes	driving	earlier	font	closer	simply
Flatbasset	7	16	2	1	7	6	1	6	6	5	3	11	9	8	1	20	48	1	15	22	21	10	12	2	6	7	18	2	11	5	1	5	5	1	3	3	0	42	0	2	27	4	7	6	15	12	2	3	0	6	4	22	0	8	11	23	7	3	40	6	4	37	3	5	20	146	4	110	15	92	9	7	0	0	126	12	7	21	9	4	1	4	12	8	9	21	0	1	0	3	13	7	9	6	20	21	0	92	28	23	1	0	96	51	6	4	7	25	3	39	6	0	3	9	8	18	0	7	6	2	14	12	15	6	19	19	12	3	9	8	11	17	9	14	3	11	21	4	45	5	75	4	9	41	6	56	32	10	7	1	0	4	13	52	2	4	89	14	4	20	3	4	8	21	15	8	8	8	3	3	14	8	2	9	47	3	1	0	23	2	5	0	8	121	2	7	6	25	8	32	30	4	2	3	4	5	10	9	35	7	18	8	1	14	2	4	0	14	9	14	19	7	10	3	54	14	5	14	8	25	9	16	7	18	9	6	0	19	10	3	7	6	11	3	7	4	11	1	7	2	2	12	0	13	7	1	59	14	0	55	19	6	6	4	29	21	10	4	53	3	16	5	0	50	8	0	3	12	5	21	6	14	21	11	12	12	10	0	11	84	15	9	8	14	6	23	5	10	7	1	25	7	1	17	6	9	14	0	13	8	10	5	1	3	0	2	109	13	15	37	21	17	0	7	8	2	1	4	3	9	13	0	6	14	11	33	297	12	3	8	3	11	154	8	4	14	22	2	0	11	78	4	14	3	36	4	6	3	7	5	0	26	2	3	11	4	13	12	4	0	6	7	27	2	30	11	26	17	6	27	8	1	7	26	3	1	2	22	64	9	0	2	1	15	2	8	6	10	16	1	0	4	4	4	7	10	3	1	25	19	0	6	23	2	12	26	10	19	17	9	8	10	5	14	9	2	5	7	11	25	6	7	3	1	3	3	0	8	8	11	3	4	0	6	4	7	0	9	79	9	9	11	6	0	6	2	26	5	12	7	13	2	11	4	11	12	13	53	10	0	13	32	50	63	15	6	15	20	5	11	50	61	5	0	129	1100	3	11	4	0	31	93	15	2	1	3	3	9	4	20	8	26	1	5	5	4	6	0	8	11
Riley Haas' blog	6	6	3	0	11	0	6	19	0	4	5	13	0	0	3	2	1	6	0	0	36	53	18	2	0	2	1	0	39	6	1	1	1	9	7	2	0	2	1	14	6	10	3	10	5	0	6	2	1	11	1	19	2	4	31	7	6	0	34	0	2	1	3	107	2	1	2	15	13	10	10	1	0	0	0	5	6	16	3	2	0	81	21	2	8	3	0	1	0	2	14	2	5	2	20	0	0	2	20	25	8	0	0	2	1	2	1	32	0	6	13	0	1	1	2	3	0	2	0	1	6	7	23	2	3	140	0	1	0	6	0	1	0	4	8	4	5	0	3	0	3	4	4	1	9	16	5	0	10	3	0	6	7	163	6	7	0	6	11	7	0	8	0	4	72	0	2	45	7	5	15	13	6	2	5	26	0	0	23	6	2	0	13	15	4	1	7	15	0	22	11	2	2	8	0	0	0	1	36	1	0	5	5	11	6	20	29	32	9	5	2	1	3	7	5	0	1	12	2	4	5	5	4	1	0	44	0	90	5	4	19	1	10	7	1	23	23	4	3	6	28	5	0	17	8	13	0	12	1	16	11	10	5	4	18	5	7	2	2	18	1	4	19	6	8	0	22	1	4	1	0	4	4	0	0	3	4	0	9	7	0	5	3	13	0	42	6	5	8	14	2	0	0	5	21	1	24	3	9	10	16	28	0	0	1	1	0	31	1	3	1	51	0	1	3	0	8	8	4	3	17	2	2	67	9	10	2	8	10	10	144	11	0	1	4	2	31	9	0	1	2	0	1	2	0	37	3	1	12	0	0	3	0	11	14	18	21	0	6	10	2	10	5	7	12	14	34	11	2	1	25	0	14	6	12	13	6	3	1	5	0	0	0	0	16	4	27	0	35	9	0	3	6	1	9	1	4	4	1	5	0	0	2	9	18	6	5	19	4	1	6	2	5	16	0	8	4	4	3	43	1	18	9	24	3	6	4	7	3	4	2	26	7	0	30	2	52	7	2	4	2	2	11	192	5	0	12	13	6	2	3	14	0	0	3	5	27	13	12	3	120	26	0	2	3	27	5	5	4	9	0	13	3	2	27	13	2	17	0	0	11	33	1	1	3	0	11	0	0	1	3	16	0	22	10	0	27	0	5	2
SEM REGRAS	0	0	0	0	0	0	3	0	0	4	0	0	13	1	0	0	0	0	2	1	0	6	0	0	1	1	0	2	0	0	0	4	0	0	0	0	0	1	0	0	0	1	1	0	0	0	2	0	0	0	1	0	1	1	0	0	1	0	0	10	0	0	0	11	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	11	8	0	0	0	1	0	0	0	0	0	0	0	1	4	2	5	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	1	15	0	1	0	5	0	0	0	3	0	0	0	0	6	0	2	1	0	0	0	0	0	2	0	0	0	4	0	9	0	1	3	0	2	0	0	0	0	3	0	8	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	9	5	8	10	0	2	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	2	0	0	1	0	0	0	3	0	2	0	0	0	0	0	0	0	2	0	0	0	1	0	7	3	5	0	0	7	0	2	0	6	0	0	1	0	3	0	0	0	0	0	0	0	0	1	0	1	0	0	0	8	2	1	2	0	0	0	0	6	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	1	0	6	2	1	9	0	4	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0	0	9	0	0	0	0	0	2	0	0	0	0	0	0	3	0	0	1	0	0	14	2	4	2	7	0	0	0	0	0	3	0	0	0	13	1	1	0	9	2	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	1	0	7	0	2	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	2	0	6	0	0	9	14	0	0	0	0	0	4	1	2	0	0	0	0	0	8	0	0	2	1	0	0	0	4	0
Pithy Title Here	15	2	13	21	7	21	12	20	5	5	8	15	10	0	7	6	6	15	9	1	23	11	5	10	14	8	46	6	4	9	1	1	10	12	1	18	0	6	9	2	11	3	3	16	1	7	10	9	2	14	1	7	1	14	3	2	5	14	2	1	9	0	5	4	1	18	12	2	10	13	5	9	2	2	5	4	15	33	7	5	0	17	14	1	5	1	0	4	4	4	23	10	7	2	5	7	6	3	3	6	4	0	9	4	0	6	3	8	0	12	13	0	3	1	14	11	2	14	2	6	19	6	16	23	14	12	0	36	24	19	30	77	24	3	1	1	5	6	17	14	15	8	3	16	11	10	8	0	5	1	0	6	14	7	3	2	2	1	31	7	9	6	0	4	15	0	7	34	7	6	3	4	14	8	5	5	3	6	40	8	10	8	1	37	10	12	16	15	1	6	8	4	4	9	14	0	6	16	9	4	5	16	18	5	22	4	3	1	13	9	0	1	3	9	20	38	43	32	20	1	26	13	7	8	23	10	2	3	5	7	15	16	5	7	2	14	8	2	11	9	9	3	0	17	11	0	8	5	0	7	3	1	5	6	17	3	0	38	14	4	0	15	19	26	23	4	12	0	12	14	13	6	17	9	8	12	7	1	8	5	24	1	18	15	13	16	20	3	4	5	1	10	2	13	10	18	45	0	23	7	11	5	2	2	2	23	39	28	5	3	13	30	0	3	3	5	69	21	5	2	1	0	8	21	5	10	5	20	16	5	39	21	16	2	18	5	27	8	1	9	0	1	2	17	5	9	1	11	14	4	4	8	5	6	14	0	3	15	9	56	18	4	2	0	26	8	14	5	8	14	18	9	9	2	13	7	37	24	20	5	2	14	1	1	14	12	5	5	2	7	36	3	6	16	21	6	5	9	9	17	0	24	18	1	4	3	2	16	3	9	9	6	33	7	5	7	25	14	3	30	0	13	13	73	9	38	15	16	19	3	0	12	0	16	10	2	32	4	43	12	19	23	7	28	16	1	25	30	7	3	0	20	1	4	1	6	1	1	4	8	47	4	0	9	7	38	0	7	5	1	7	17	6	13	47	10	13	5	9	8	9	23	29	0	21	3	6	1	0	8	7	5	1	17	9	27	8	14	9	53
Morgan's Blog	3	0	1	0	5	14	4	4	6	1	4	2	1	0	0	0	0	0	3	0	2	0	0	1	1	1	5	6	1	0	11	6	13	3	0	2	1	1	6	3	7	6	4	4	0	0	2	2	0	1	7	1	0	5	0	0	3	5	1	0	2	0	1	0	0	3	2	1	3	4	11	0	1	0	0	2	3	4	11	7	3	3	3	0	0	4	0	1	0	1	6	8	0	1	0	1	0	0	0	1	3	0	0	0	0	1	2	4	1	0	4	1	4	0	4	3	0	4	1	2	1	3	1	2	1	0	0	3	3	1	14	2	0	0	1	2	2	2	3	3	1	3	1	1	8	0	1	0	1	2	1	1	1	1	0	5	2	1	1	1	11	3	0	0	7	1	2	7	2	1	0	0	5	6	5	3	0	0	7	2	5	0	0	3	1	3	2	7	0	3	2	0	4	3	3	0	2	2	3	4	2	0	4	1	2	3	6	0	4	1	1	0	1	5	0	3	5	4	4	1	3	2	3	5	3	0	0	3	1	2	3	2	1	4	0	2	1	12	0	2	0	0	0	6	4	0	1	0	0	1	2	0	12	3	6	4	1	1	2	0	0	2	3	7	4	0	1	3	2	2	2	1	7	1	0	0	2	0	3	2	2	0	4	3	2	6	5	0	1	1	5	1	0	2	0	6	5	0	3	2	1	2	5	0	0	5	0	0	2	1	4	2	0	7	2	1	10	4	1	0	2	0	1	5	0	3	2	2	2	2	1	3	0	2	2	2	3	2	0	3	4	6	0	5	2	5	2	2	6	0	0	4	0	5	0	9	3	1	4	3	3	1	0	2	13	5	5	13	3	8	5	0	4	0	1	4	1	7	1	2	0	2	0	0	0	5	0	5	2	0	0	1	0	2	1	3	7	4	0	6	1	1	1	0	0	1	0	1	5	2	4	1	3	3	1	6	2	7	0	9	2	8	7	1	0	4	3	6	0	1	2	3	0	5	0	3	10	3	3	5	3	3	3	1	3	0	2	4	7	1	0	5	0	0	0	0	2	2	1	10	10	0	0	0	0	4	1	1	4	4	1	4	1	6	1	4	5	2	0	2	1	0	4	0	2	2	0	1	9	1	1	0	1	6	0	2	0	1	2	2
THE HUB	0	0	6	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	1	1	0	1	0	2	0	0	0	0	0	2	2	0	0	2	1	0	0	1	0	0	0	0	0	0	0	4	0	1	1	2	4	0	0	2	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	2	0	0	0	6	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	1	0	0	0	9	0	0	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	2	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6	0	0	2	0	0	1	0	0	2	0	0	0	2	0	0	0	0	0	26	0	0	0	0	2	0	0	8	0	0	0	0	0	1	5	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	1	0	4	2	1	0	0	0	0	2	0	0	0	0	1	8	0	0
Web Science and Digital Libraries Research Group	5	0	31	34	16	27	11	2	0	0	25	6	231	35	354	0	0	44	5	2	94	6	8	29	5	4	3	14	7	48	46	4	22	86	294	54	800	0	20	6	82	2	0	19	35	16	3	2	13	30	1	13	5	93	0	2	38	39	0	0	79	6	14	145	189	196	13	24	138	108	133	612	7	0	0	0	13	5	15	4	2	18	10	2	0	129	0	16	0	12	6	6	5	14	7	5	42	0	23	1	6	124	27	25	9	0	0	3	1	0	19	184	170	0	56	46	0	23	50	151	7	72	29	8	14	47	0	71	35	2	61	0	23	0	35	0	3	46	39	19	50	10	1	101	14	0	0	0	20	7	55	7	4	4	13	24	28	0	8	20	6	10	5	1	60	0	1	13	43	8	43	19	27	4	44	21	172	1	10	49	45	1	14	15	8	4	24	5	45	22	35	1	22	10	14	0	3	3	19	3	2	43	54	17	0	5	2	1	30	14	34	24	16	48	0	24	36	7	63	22	31	2	12	72	0	18	0	58	36	24	11	8	19	59	1	31	103	11	0	24	1	3	0	39	15	102	16	36	867	0	114	9	174	2	23	39	0	103	1	4	0	14	10	208	2	3	43	20	67	2	70	41	2	1111	5	24	1	0	36	0	8	0	310	18	6	0	11	7	43	160	4	0	0	3	14	13	21	7	7	12	0	12	22	0	70	1	47	0	0	0	172	8	2	1	23	8	83	69	3	0	1	0	1	12	24	3	8	40	8	10	77	2	35	78	330	26	7	11	341	200	42	285	0	52	202	12	13	5	0	1	0	8	148	4	3	0	17	10	0	115	92	11	0	14	17	4	3	0	441	23	62	19	4	0	29	51	12	7	14	11	4	1	124	0	31	16	1	19	2	0	0	18	0	46	22	34	25	24	6	42	18	3	32	0	16	22	0	184	2	3	61	7	147	1	1	29	4	5	1	5	350	9	4	25	16	27	9	1	4	3	2	13	19	8	59	59	5	2	4	35	2	1	59	29	10	0	181	7	31	1	1	17	7	3	0	38	0	5	72	5	35	0	0	60	1	16	0	14	5	11	0	58	1	64	0	4	46	53	1	2	6	5	2	0	3	5	26	1	1	5	5	118	7	39	53	3	29	0	4	15
Steel City Rust	8	1	8	2	1	5	3	10	2	0	4	5	4	2	2	5	6	5	0	3	8	8	5	6	1	7	3	2	3	11	12	10	1	3	0	10	0	2	0	10	5	0	7	4	9	4	0	1	0	4	4	2	0	0	1	2	0	8	7	2	4	7	3	6	2	0	3	0	4	10	3	0	0	0	2	2	4	5	1	3	2	2	4	2	1	3	0	0	0	9	2	3	3	1	1	4	0	3	7	0	25	0	0	0	4	1	0	3	16	5	8	0	0	3	1	0	1	2	13	2	0	2	6	2	1	2	1	4	11	0	1	7	5	2	0	5	3	0	9	5	7	3	4	1	6	2	9	5	2	1	3	2	2	1	1	1	6	4	5	10	0	4	0	8	6	5	6	1	4	8	3	5	5	1	6	4	0	0	2	8	1	0	0	10	11	2	1	3	17	4	1	0	1	6	0	4	7	6	6	0	3	13	4	3	3	4	1	2	5	8	2	2	0	5	4	5	7	6	5	0	9	1	1	3	4	4	0	4	11	3	8	15	0	6	15	4	5	3	2	2	5	7	0	6	3	0	0	3	1	0	2	1	4	1	14	1	6	10	5	12	0	4	2	2	6	0	15	1	3	0	0	3	3	0	5	2	3	1	6	11	4	3	8	3	10	11	1	1	2	0	0	0	0	3	6	4	6	0	4	5	13	1	4	10	1	4	1	1	6	3	0	19	0	0	2	3	5	2	2	2	4	0	3	5	2	4	1	5	10	9	3	15	0	4	3	2	6	7	0	2	0	4	1	3	6	5	0	2	2	3	0	4	5	4	4	5	3	2	1	2	6	4	3	4	6	3	25	4	7	7	5	0	2	3	10	1	1	2	2	4	0	1	1	6	0	3	4	24	5	9	0	2	6	3	5	1	2	10	0	4	0	4	6	1	0	2	11	9	1	1	7	1	4	9	3	3	18	1	6	13	0	1	10	1	0	4	9	6	4	9	1	2	1	2	10	1	14	1	5	2	5	3	10	1	0	0	2	12	3	1	0	3	0	5	0	1	1	4	5	1	1	18	0	1	1	8	11	2	1	4	3	9	4	1	11	3	6	6	0	3	6	12	7	0	5	0	8	1	0	6	5	4	1	4	3	14	3	0	4	10
MR. BEAUTIFUL TRASH ART	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	11	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60@60 Sounding Booth	0	3	0	3	5	4	3	1	0	8	3	0	4	3	1	5	0	5	2	0	0	0	1	3	10	2	7	3	0	0	4	2	9	0	0	0	0	0	1	2	3	1	0	0	0	3	1	0	2	0	0	0	6	1	2	1	2	2	1	4	1	6	2	3	0	0	2	0	0	0	0	0	0	0	4	3	0	0	0	2	3	0	0	1	1	1	0	0	0	0	0	3	0	1	13	2	0	2	0	0	5	0	0	0	0	0	3	1	1	2	4	0	1	41	0	4	1	1	3	4	3	2	0	1	1	0	7	3	3	1	5	0	1	1	7	0	2	0	9	0	5	0	7	0	1	7	2	14	0	0	1	11	0	2	0	0	5	3	6	3	4	0	3	0	2	16	3	1	6	0	1	0	1	1	9	0	0	1	0	1	0	1	0	0	0	0	0	0	2	0	0	3	2	0	9	15	12	0	0	3	0	0	1	0	1	1	0	46	2	0	16	0	0	0	23	2	5	0	2	0	0	0	2	0	4	7	0	1	1	0	7	2	20	4	6	3	51	1	11	4	1	14	0	2	0	1	0	0	0	3	3	0	5	3	5	2	8	4	2	13	1	1	1	1	3	0	54	2	1	5	2	0	8	1	0	1	2	0	6	1	10	0	0	0	5	3	3	7	7	4	11	0	0	8	1	6	0	2	4	4	0	0	0	1	0	0	0	0	3	3	0	0	2	5	2	3	2	2	1	0	21	2	1	0	0	0	0	0	0	0	0	1	0	1	0	0	2	1	0	1	0	1	1	3	3	11	15	2	3	4	0	0	4	2	0	0	10	3	1	0	0	0	1	2	0	2	12	0	2	0	2	0	0	2	4	1	0	1	2	2	0	1	0	1	0	0	3	1	4	5	0	0	11	0	0	0	0	4	5	1	0	16	3	15	1	0	0	0	1	1	0	20	7	3	11	0	3	9	34	5	0	1	0	1	5	1	14	1	6	1	3	1	10	0	1	2	0	2	70	1	3	4	0	0	0	1	1	1	0	1	3	1	14	1	5	2	0	2	3	0	7	6	0	0	6	1	0	0	2	1	5	1	12	1	122	0	3	1	4	0	1	0	6	0	0	0	2	3	1	6	6	2	0	3	11	1	1	0	2	0
